drugbank_id,drug_score,drug_neg_log_score,trustrank,drug_name,drug_atc_code,drug_atc_label,uniprot_id,symbol,ensembl_id,drug|protein,interaction_label,actions
DB14487,5.469787326561983e-05,4.262029559351425,3,Zinc Acetate,A16,Other alimentary tract and metabolism products ,Q02750,MAP2K1,ENSG00000169032,DB14487|Q02750,,
DB14487,5.469787326561983e-05,4.262029559351425,3,Zinc Acetate,A16,Other alimentary tract and metabolism products ,P56181,NDUFV3,ENSG00000160194,DB14487|P56181,,
DB12010,5.459980028611208e-05,4.262808945844679,5,Fostamatinib,B02,Antihemorrhagics ,P35372,OPRM1,ENSG00000112038,DB12010|P35372,,
DB12010,5.459980028611208e-05,4.262808945844679,5,Fostamatinib,B02,Antihemorrhagics ,P03372,ESR1,ENSG00000091831,DB12010|P03372,,
DB12010,5.459980028611208e-05,4.262808945844679,5,Fostamatinib,B02,Antihemorrhagics ,P30536,TSPO,ENSG00000100300,DB12010|P30536,,
DB12010,5.459980028611208e-05,4.262808945844679,5,Fostamatinib,B02,Antihemorrhagics ,P07437,TUBB,ENSG00000196230,DB12010|P07437,,
DB12010,5.459980028611208e-05,4.262808945844679,5,Fostamatinib,B02,Antihemorrhagics ,Q02750,MAP2K1,ENSG00000169032,DB12010|Q02750,,
DB12010,5.459980028611208e-05,4.262808945844679,5,Fostamatinib,B02,Antihemorrhagics ,P56181,NDUFV3,ENSG00000160194,DB12010|P56181,,
DB09130,5.0486972662871006e-05,4.296820670010146,6,,,,P35372,OPRM1,ENSG00000112038,DB09130|P35372,,
DB09130,5.0486972662871006e-05,4.296820670010146,6,,,,P03372,ESR1,ENSG00000091831,DB09130|P03372,,
DB09130,5.0486972662871006e-05,4.296820670010146,6,,,,P30536,TSPO,ENSG00000100300,DB09130|P30536,,
DB09130,5.0486972662871006e-05,4.296820670010146,6,,,,P07437,TUBB,ENSG00000196230,DB09130|P07437,,
DB09130,5.0486972662871006e-05,4.296820670010146,6,,,,Q02750,MAP2K1,ENSG00000169032,DB09130|Q02750,,
DB09130,5.0486972662871006e-05,4.296820670010146,6,,,,P56181,NDUFV3,ENSG00000160194,DB09130|P56181,,
DB14533,5.00291804460304e-05,4.300776611461623,7,,,,P35372,OPRM1,ENSG00000112038,DB14533|P35372,,
DB14533,5.00291804460304e-05,4.300776611461623,7,,,,P03372,ESR1,ENSG00000091831,DB14533|P03372,target,binder
DB14533,5.00291804460304e-05,4.300776611461623,7,,,,P30536,TSPO,ENSG00000100300,DB14533|P30536,,
DB14533,5.00291804460304e-05,4.300776611461623,7,,,,P07437,TUBB,ENSG00000196230,DB14533|P07437,,
DB14533,5.00291804460304e-05,4.300776611461623,7,,,,Q02750,MAP2K1,ENSG00000169032,DB14533|Q02750,,
DB14533,5.00291804460304e-05,4.300776611461623,7,,,,P56181,NDUFV3,ENSG00000160194,DB14533|P56181,,
DB14548,4.886840428757987e-05,4.310971841868352,8,,,,P35372,OPRM1,ENSG00000112038,DB14548|P35372,,
DB14548,4.886840428757987e-05,4.310971841868352,8,,,,P03372,ESR1,ENSG00000091831,DB14548|P03372,target,binder
DB14548,4.886840428757987e-05,4.310971841868352,8,,,,P30536,TSPO,ENSG00000100300,DB14548|P30536,,
DB14548,4.886840428757987e-05,4.310971841868352,8,,,,P07437,TUBB,ENSG00000196230,DB14548|P07437,,
DB14548,4.886840428757987e-05,4.310971841868352,8,,,,Q02750,MAP2K1,ENSG00000169032,DB14548|Q02750,,
DB14548,4.886840428757987e-05,4.310971841868352,8,,,,P56181,NDUFV3,ENSG00000160194,DB14548|P56181,,
DB01268,4.773707520364725e-05,4.321144193243559,9,Sunitinib,L01,Antineoplastic agents ,P35372,OPRM1,ENSG00000112038,DB01268|P35372,,
DB01268,4.773707520364725e-05,4.321144193243559,9,Sunitinib,L01,Antineoplastic agents ,P03372,ESR1,ENSG00000091831,DB01268|P03372,,
DB01268,4.773707520364725e-05,4.321144193243559,9,Sunitinib,L01,Antineoplastic agents ,P30536,TSPO,ENSG00000100300,DB01268|P30536,,
DB01268,4.773707520364725e-05,4.321144193243559,9,Sunitinib,L01,Antineoplastic agents ,P07437,TUBB,ENSG00000196230,DB01268|P07437,,
DB01268,4.773707520364725e-05,4.321144193243559,9,Sunitinib,L01,Antineoplastic agents ,Q02750,MAP2K1,ENSG00000169032,DB01268|Q02750,,
DB01268,4.773707520364725e-05,4.321144193243559,9,Sunitinib,L01,Antineoplastic agents ,P56181,NDUFV3,ENSG00000160194,DB01268|P56181,,
DB09079,4.041921656947354e-05,4.393412108506315,10,Nintedanib,L01,Antineoplastic agents ,P35372,OPRM1,ENSG00000112038,DB09079|P35372,,
DB09079,4.041921656947354e-05,4.393412108506315,10,Nintedanib,L01,Antineoplastic agents ,P03372,ESR1,ENSG00000091831,DB09079|P03372,,
DB09079,4.041921656947354e-05,4.393412108506315,10,Nintedanib,L01,Antineoplastic agents ,P30536,TSPO,ENSG00000100300,DB09079|P30536,,
DB09079,4.041921656947354e-05,4.393412108506315,10,Nintedanib,L01,Antineoplastic agents ,P07437,TUBB,ENSG00000196230,DB09079|P07437,,
DB09079,4.041921656947354e-05,4.393412108506315,10,Nintedanib,L01,Antineoplastic agents ,Q02750,MAP2K1,ENSG00000169032,DB09079|Q02750,,
DB09079,4.041921656947354e-05,4.393412108506315,10,Nintedanib,L01,Antineoplastic agents ,P56181,NDUFV3,ENSG00000160194,DB09079|P56181,,
DB06595,3.712519493184613e-05,4.4303312573352605,11,Midostaurin,L01,Antineoplastic agents ,P35372,OPRM1,ENSG00000112038,DB06595|P35372,,
DB06595,3.712519493184613e-05,4.4303312573352605,11,Midostaurin,L01,Antineoplastic agents ,P03372,ESR1,ENSG00000091831,DB06595|P03372,,
DB06595,3.712519493184613e-05,4.4303312573352605,11,Midostaurin,L01,Antineoplastic agents ,P30536,TSPO,ENSG00000100300,DB06595|P30536,,
DB06595,3.712519493184613e-05,4.4303312573352605,11,Midostaurin,L01,Antineoplastic agents ,P07437,TUBB,ENSG00000196230,DB06595|P07437,,
DB06595,3.712519493184613e-05,4.4303312573352605,11,Midostaurin,L01,Antineoplastic agents ,Q02750,MAP2K1,ENSG00000169032,DB06595|Q02750,,
DB06595,3.712519493184613e-05,4.4303312573352605,11,Midostaurin,L01,Antineoplastic agents ,P56181,NDUFV3,ENSG00000160194,DB06595|P56181,,
DB06616,3.676124409254963e-05,4.434609799424485,12,Bosutinib,L01,Antineoplastic agents ,P35372,OPRM1,ENSG00000112038,DB06616|P35372,,
DB06616,3.676124409254963e-05,4.434609799424485,12,Bosutinib,L01,Antineoplastic agents ,P03372,ESR1,ENSG00000091831,DB06616|P03372,,
DB06616,3.676124409254963e-05,4.434609799424485,12,Bosutinib,L01,Antineoplastic agents ,P30536,TSPO,ENSG00000100300,DB06616|P30536,,
DB06616,3.676124409254963e-05,4.434609799424485,12,Bosutinib,L01,Antineoplastic agents ,P07437,TUBB,ENSG00000196230,DB06616|P07437,,
DB06616,3.676124409254963e-05,4.434609799424485,12,Bosutinib,L01,Antineoplastic agents ,Q02750,MAP2K1,ENSG00000169032,DB06616|Q02750,target_negativeEffect,inhibitor
DB06616,3.676124409254963e-05,4.434609799424485,12,Bosutinib,L01,Antineoplastic agents ,P56181,NDUFV3,ENSG00000160194,DB06616|P56181,,
DB00477,3.589668196663572e-05,4.444945692652235,13,Chlorpromazine,N05,Psycholeptics ,P35372,OPRM1,ENSG00000112038,DB00477|P35372,,
DB00477,3.589668196663572e-05,4.444945692652235,13,Chlorpromazine,N05,Psycholeptics ,P03372,ESR1,ENSG00000091831,DB00477|P03372,,
DB00477,3.589668196663572e-05,4.444945692652235,13,Chlorpromazine,N05,Psycholeptics ,P30536,TSPO,ENSG00000100300,DB00477|P30536,,
DB00477,3.589668196663572e-05,4.444945692652235,13,Chlorpromazine,N05,Psycholeptics ,P07437,TUBB,ENSG00000196230,DB00477|P07437,,
DB00477,3.589668196663572e-05,4.444945692652235,13,Chlorpromazine,N05,Psycholeptics ,Q02750,MAP2K1,ENSG00000169032,DB00477|Q02750,,
DB00477,3.589668196663572e-05,4.444945692652235,13,Chlorpromazine,N05,Psycholeptics ,P56181,NDUFV3,ENSG00000160194,DB00477|P56181,,
DB08885,3.311936820483392e-05,4.479917956542092,14,,,,P35372,OPRM1,ENSG00000112038,DB08885|P35372,,
DB08885,3.311936820483392e-05,4.479917956542092,14,,,,P03372,ESR1,ENSG00000091831,DB08885|P03372,,
DB08885,3.311936820483392e-05,4.479917956542092,14,,,,P30536,TSPO,ENSG00000100300,DB08885|P30536,,
DB08885,3.311936820483392e-05,4.479917956542092,14,,,,P07437,TUBB,ENSG00000196230,DB08885|P07437,,
DB08885,3.311936820483392e-05,4.479917956542092,14,,,,Q02750,MAP2K1,ENSG00000169032,DB08885|Q02750,,
DB08885,3.311936820483392e-05,4.479917956542092,14,,,,P56181,NDUFV3,ENSG00000160194,DB08885|P56181,,
DB12598,2.900214166448543e-05,4.537569930420866,15,,,,P35372,OPRM1,ENSG00000112038,DB12598|P35372,,
DB12598,2.900214166448543e-05,4.537569930420866,15,,,,P03372,ESR1,ENSG00000091831,DB12598|P03372,,
DB12598,2.900214166448543e-05,4.537569930420866,15,,,,P30536,TSPO,ENSG00000100300,DB12598|P30536,,
DB12598,2.900214166448543e-05,4.537569930420866,15,,,,P07437,TUBB,ENSG00000196230,DB12598|P07437,,
DB12598,2.900214166448543e-05,4.537569930420866,15,,,,Q02750,MAP2K1,ENSG00000169032,DB12598|Q02750,,
DB12598,2.900214166448543e-05,4.537569930420866,15,,,,P56181,NDUFV3,ENSG00000160194,DB12598|P56181,,
DB12831,2.7486261151782647e-05,4.560884331512711,16,,,,P35372,OPRM1,ENSG00000112038,DB12831|P35372,,
DB12831,2.7486261151782647e-05,4.560884331512711,16,,,,P03372,ESR1,ENSG00000091831,DB12831|P03372,,
DB12831,2.7486261151782647e-05,4.560884331512711,16,,,,P30536,TSPO,ENSG00000100300,DB12831|P30536,,
DB12831,2.7486261151782647e-05,4.560884331512711,16,,,,P07437,TUBB,ENSG00000196230,DB12831|P07437,,
DB12831,2.7486261151782647e-05,4.560884331512711,16,,,,Q02750,MAP2K1,ENSG00000169032,DB12831|Q02750,,
DB12831,2.7486261151782647e-05,4.560884331512711,16,,,,P56181,NDUFV3,ENSG00000160194,DB12831|P56181,,
DB00458,2.669793495950375e-05,4.573522329286208,17,Imipramine,N06,Psychoanaleptics ,P35372,OPRM1,ENSG00000112038,DB00458|P35372,,
DB00458,2.669793495950375e-05,4.573522329286208,17,Imipramine,N06,Psychoanaleptics ,P03372,ESR1,ENSG00000091831,DB00458|P03372,,
DB00458,2.669793495950375e-05,4.573522329286208,17,Imipramine,N06,Psychoanaleptics ,P30536,TSPO,ENSG00000100300,DB00458|P30536,,
DB00458,2.669793495950375e-05,4.573522329286208,17,Imipramine,N06,Psychoanaleptics ,P07437,TUBB,ENSG00000196230,DB00458|P07437,,
DB00458,2.669793495950375e-05,4.573522329286208,17,Imipramine,N06,Psychoanaleptics ,Q02750,MAP2K1,ENSG00000169032,DB00458|Q02750,,
DB00458,2.669793495950375e-05,4.573522329286208,17,Imipramine,N06,Psychoanaleptics ,P56181,NDUFV3,ENSG00000160194,DB00458|P56181,,
DB00157,2.654578293067887e-05,4.576004461226601,18,,,,P35372,OPRM1,ENSG00000112038,DB00157|P35372,,
DB00157,2.654578293067887e-05,4.576004461226601,18,,,,P03372,ESR1,ENSG00000091831,DB00157|P03372,,
DB00157,2.654578293067887e-05,4.576004461226601,18,,,,P30536,TSPO,ENSG00000100300,DB00157|P30536,,
DB00157,2.654578293067887e-05,4.576004461226601,18,,,,P07437,TUBB,ENSG00000196230,DB00157|P07437,,
DB00157,2.654578293067887e-05,4.576004461226601,18,,,,Q02750,MAP2K1,ENSG00000169032,DB00157|Q02750,,
DB00157,2.654578293067887e-05,4.576004461226601,18,,,,P56181,NDUFV3,ENSG00000160194,DB00157|P56181,,
DB04216,2.6176896243539315e-05,4.582081848396905,19,,,,P35372,OPRM1,ENSG00000112038,DB04216|P35372,,
DB04216,2.6176896243539315e-05,4.582081848396905,19,,,,P03372,ESR1,ENSG00000091831,DB04216|P03372,,
DB04216,2.6176896243539315e-05,4.582081848396905,19,,,,P30536,TSPO,ENSG00000100300,DB04216|P30536,,
DB04216,2.6176896243539315e-05,4.582081848396905,19,,,,P07437,TUBB,ENSG00000196230,DB04216|P07437,,
DB04216,2.6176896243539315e-05,4.582081848396905,19,,,,Q02750,MAP2K1,ENSG00000169032,DB04216|Q02750,,
DB04216,2.6176896243539315e-05,4.582081848396905,19,,,,P56181,NDUFV3,ENSG00000160194,DB04216|P56181,,
DB06848,2.579412023978457e-05,4.588479280022602,20,,,,P35372,OPRM1,ENSG00000112038,DB06848|P35372,,
DB06848,2.579412023978457e-05,4.588479280022602,20,,,,P03372,ESR1,ENSG00000091831,DB06848|P03372,,
DB06848,2.579412023978457e-05,4.588479280022602,20,,,,P30536,TSPO,ENSG00000100300,DB06848|P30536,,
DB06848,2.579412023978457e-05,4.588479280022602,20,,,,P07437,TUBB,ENSG00000196230,DB06848|P07437,,
DB06848,2.579412023978457e-05,4.588479280022602,20,,,,Q02750,MAP2K1,ENSG00000169032,DB06848|Q02750,,
DB06848,2.579412023978457e-05,4.588479280022602,20,,,,P56181,NDUFV3,ENSG00000160194,DB06848|P56181,,
DB06849,2.579412023978457e-05,4.588479280022602,20,,,,P35372,OPRM1,ENSG00000112038,DB06849|P35372,,
DB06849,2.579412023978457e-05,4.588479280022602,20,,,,P03372,ESR1,ENSG00000091831,DB06849|P03372,,
DB06849,2.579412023978457e-05,4.588479280022602,20,,,,P30536,TSPO,ENSG00000100300,DB06849|P30536,,
DB06849,2.579412023978457e-05,4.588479280022602,20,,,,P07437,TUBB,ENSG00000196230,DB06849|P07437,,
DB06849,2.579412023978457e-05,4.588479280022602,20,,,,Q02750,MAP2K1,ENSG00000169032,DB06849|Q02750,,
DB06849,2.579412023978457e-05,4.588479280022602,20,,,,P56181,NDUFV3,ENSG00000160194,DB06849|P56181,,
DB01254,2.4992059698188982e-05,4.602197950408304,22,Dasatinib,L01,Antineoplastic agents ,P35372,OPRM1,ENSG00000112038,DB01254|P35372,,
DB01254,2.4992059698188982e-05,4.602197950408304,22,Dasatinib,L01,Antineoplastic agents ,P03372,ESR1,ENSG00000091831,DB01254|P03372,,
DB01254,2.4992059698188982e-05,4.602197950408304,22,Dasatinib,L01,Antineoplastic agents ,P30536,TSPO,ENSG00000100300,DB01254|P30536,,
DB01254,2.4992059698188982e-05,4.602197950408304,22,Dasatinib,L01,Antineoplastic agents ,P07437,TUBB,ENSG00000196230,DB01254|P07437,,
DB01254,2.4992059698188982e-05,4.602197950408304,22,Dasatinib,L01,Antineoplastic agents ,Q02750,MAP2K1,ENSG00000169032,DB01254|Q02750,,
DB01254,2.4992059698188982e-05,4.602197950408304,22,Dasatinib,L01,Antineoplastic agents ,P56181,NDUFV3,ENSG00000160194,DB01254|P56181,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,A01,Stomatological preparations ,P35372,OPRM1,ENSG00000112038,DB01110|P35372,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,A01,Stomatological preparations ,P03372,ESR1,ENSG00000091831,DB01110|P03372,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,A01,Stomatological preparations ,P30536,TSPO,ENSG00000100300,DB01110|P30536,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,A01,Stomatological preparations ,P07437,TUBB,ENSG00000196230,DB01110|P07437,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,A01,Stomatological preparations ,Q02750,MAP2K1,ENSG00000169032,DB01110|Q02750,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,A01,Stomatological preparations ,P56181,NDUFV3,ENSG00000160194,DB01110|P56181,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents ",P35372,OPRM1,ENSG00000112038,DB01110|P35372,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents ",P03372,ESR1,ENSG00000091831,DB01110|P03372,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents ",P30536,TSPO,ENSG00000100300,DB01110|P30536,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents ",P07437,TUBB,ENSG00000196230,DB01110|P07437,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents ",Q02750,MAP2K1,ENSG00000169032,DB01110|Q02750,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents ",P56181,NDUFV3,ENSG00000160194,DB01110|P56181,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,D01,Antifungals for dermatological use ,P35372,OPRM1,ENSG00000112038,DB01110|P35372,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,D01,Antifungals for dermatological use ,P03372,ESR1,ENSG00000091831,DB01110|P03372,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,D01,Antifungals for dermatological use ,P30536,TSPO,ENSG00000100300,DB01110|P30536,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,D01,Antifungals for dermatological use ,P07437,TUBB,ENSG00000196230,DB01110|P07437,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,D01,Antifungals for dermatological use ,Q02750,MAP2K1,ENSG00000169032,DB01110|Q02750,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,D01,Antifungals for dermatological use ,P56181,NDUFV3,ENSG00000160194,DB01110|P56181,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,G01,Gynecological antiinfectives and antiseptics ,P35372,OPRM1,ENSG00000112038,DB01110|P35372,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,G01,Gynecological antiinfectives and antiseptics ,P03372,ESR1,ENSG00000091831,DB01110|P03372,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,G01,Gynecological antiinfectives and antiseptics ,P30536,TSPO,ENSG00000100300,DB01110|P30536,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,G01,Gynecological antiinfectives and antiseptics ,P07437,TUBB,ENSG00000196230,DB01110|P07437,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,G01,Gynecological antiinfectives and antiseptics ,Q02750,MAP2K1,ENSG00000169032,DB01110|Q02750,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,G01,Gynecological antiinfectives and antiseptics ,P56181,NDUFV3,ENSG00000160194,DB01110|P56181,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,J02,Antimycotics for systemic use ,P35372,OPRM1,ENSG00000112038,DB01110|P35372,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,J02,Antimycotics for systemic use ,P03372,ESR1,ENSG00000091831,DB01110|P03372,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,J02,Antimycotics for systemic use ,P30536,TSPO,ENSG00000100300,DB01110|P30536,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,J02,Antimycotics for systemic use ,P07437,TUBB,ENSG00000196230,DB01110|P07437,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,J02,Antimycotics for systemic use ,Q02750,MAP2K1,ENSG00000169032,DB01110|Q02750,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,J02,Antimycotics for systemic use ,P56181,NDUFV3,ENSG00000160194,DB01110|P56181,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,S02,Otologicals ,P35372,OPRM1,ENSG00000112038,DB01110|P35372,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,S02,Otologicals ,P03372,ESR1,ENSG00000091831,DB01110|P03372,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,S02,Otologicals ,P30536,TSPO,ENSG00000100300,DB01110|P30536,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,S02,Otologicals ,P07437,TUBB,ENSG00000196230,DB01110|P07437,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,S02,Otologicals ,Q02750,MAP2K1,ENSG00000169032,DB01110|Q02750,,
DB01110,2.44997121351855e-05,4.6108390184450565,23,Miconazole,S02,Otologicals ,P56181,NDUFV3,ENSG00000160194,DB01110|P56181,,
DB08877,2.258042974300653e-05,4.646267796988536,24,Ruxolitinib,D11,Other dermatological preparations ,P35372,OPRM1,ENSG00000112038,DB08877|P35372,,
DB08877,2.258042974300653e-05,4.646267796988536,24,Ruxolitinib,D11,Other dermatological preparations ,P03372,ESR1,ENSG00000091831,DB08877|P03372,,
DB08877,2.258042974300653e-05,4.646267796988536,24,Ruxolitinib,D11,Other dermatological preparations ,P30536,TSPO,ENSG00000100300,DB08877|P30536,,
DB08877,2.258042974300653e-05,4.646267796988536,24,Ruxolitinib,D11,Other dermatological preparations ,P07437,TUBB,ENSG00000196230,DB08877|P07437,,
DB08877,2.258042974300653e-05,4.646267796988536,24,Ruxolitinib,D11,Other dermatological preparations ,Q02750,MAP2K1,ENSG00000169032,DB08877|Q02750,,
DB08877,2.258042974300653e-05,4.646267796988536,24,Ruxolitinib,D11,Other dermatological preparations ,P56181,NDUFV3,ENSG00000160194,DB08877|P56181,,
DB08877,2.258042974300653e-05,4.646267796988536,24,Ruxolitinib,L01,Antineoplastic agents ,P35372,OPRM1,ENSG00000112038,DB08877|P35372,,
